supplier,scenario,split,unit,cohort,model,rows,skus,actual_total_qty,prediction_total_qty,mae_qty,mean_error_qty,wape_percent,bias_percent,zero_actual_rows,zero_actual_mae_qty,short_history_rows,macro_sku_wape_percent,macro_sku_wape_skus
IEK,operational_zero_assumption,validation,шт,common_all_models,same_month_last_year,13374,2229,665669.00000000,720864.00000000,26.71399731,4.12703754,53.67126905,8.29165847,7816,2.83124360,0,261.14968777,1503
IEK,unknown_blanks,test,м,available,current,131,80,104786.00000000,89574.95260000,520.74260458,-116.11486565,65.10152234,-14.51629741,0,,0,174.61213950,80
IEK,unknown_blanks,test,м,available,last_month,107,59,103718.00000000,104751.00000000,686.40186916,9.65420561,70.81220232,0.99596984,0,,0,123.80209120,59
IEK,unknown_blanks,test,м,available,same_month_last_year,119,71,104498.00000000,135020.00000000,753.78151261,256.48739496,85.83896343,29.20821451,0,,0,584.72825460,71
IEK,unknown_blanks,test,м,paired_last_month,current,107,59,103718.00000000,84291.08010000,588.71993925,-181.55999907,60.73490956,-18.73051920,0,,0,103.19490751,59
IEK,unknown_blanks,test,м,paired_last_month,last_month,107,59,103718.00000000,104751.00000000,686.40186916,9.65420561,70.81220232,0.99596984,0,,0,123.80209120,59
IEK,unknown_blanks,test,м,paired_same_month_last_year,current,119,71,104498.00000000,88928.59330000,566.99318739,-130.83535042,64.56792408,-14.89923893,0,,0,106.78308544,71
IEK,unknown_blanks,test,м,paired_same_month_last_year,same_month_last_year,119,71,104498.00000000,135020.00000000,753.78151261,256.48739496,85.83896343,29.20821451,0,,0,584.72825460,71
IEK,unknown_blanks,test,м,common_all_models,current,102,56,103562.00000000,84034.20170000,614.34733235,-191.44900294,60.50812837,-18.85614250,0,,0,86.82573085,56
IEK,unknown_blanks,test,м,common_all_models,last_month,102,56,103562.00000000,104491.00000000,717.61764706,9.10784314,70.67939978,0.89704718,0,,0,81.63750007,56
IEK,unknown_blanks,test,м,common_all_models,same_month_last_year,102,56,103562.00000000,129233.00000000,826.44117647,251.67647059,81.39761689,24.78804967,0,,0,532.86672627,56
IEK,unknown_blanks,test,упак,available,current,91,54,8107.00000000,5833.87760000,37.39289451,-24.97936703,41.97302825,-28.03900826,0,,1,89.14472660,54
IEK,unknown_blanks,test,упак,available,last_month,73,37,8030.00000000,7709.00000000,31.00000000,-4.39726027,28.18181818,-3.99750934,0,,0,66.04081354,37
IEK,unknown_blanks,test,упак,available,same_month_last_year,73,41,8016.00000000,8586.00000000,33.67123288,7.80821918,30.66367265,7.11077844,0,,0,182.38844918,41
IEK,unknown_blanks,test,упак,paired_last_month,current,73,37,8030.00000000,5795.71660000,45.62206027,-30.60662192,41.47460025,-27.82420174,0,,0,77.02295749,37
IEK,unknown_blanks,test,упак,paired_last_month,last_month,73,37,8030.00000000,7709.00000000,31.00000000,-4.39726027,28.18181818,-3.99750934,0,,0,66.04081354,37
IEK,unknown_blanks,test,упак,paired_same_month_last_year,current,73,41,8016.00000000,5735.89280000,45.35120274,-31.23434521,41.30037176,-28.44445110,0,,0,92.09912564,41
IEK,unknown_blanks,test,упак,paired_same_month_last_year,same_month_last_year,73,41,8016.00000000,8586.00000000,33.67123288,7.80821918,30.66367265,7.11077844,0,,0,182.38844918,41
IEK,unknown_blanks,test,упак,common_all_models,current,67,36,7982.00000000,5726.84080000,48.92996418,-33.65909254,41.07125532,-28.25305938,0,,0,92.15194402,36
IEK,unknown_blanks,test,упак,common_all_models,last_month,67,36,7982.00000000,7579.00000000,32.34328358,-6.01492537,27.14858431,-5.04885993,0,,0,61.65772205,36
IEK,unknown_blanks,test,упак,common_all_models,same_month_last_year,67,36,7982.00000000,8544.00000000,36.23880597,8.38805970,30.41844149,7.04084189,0,,0,198.38375848,36
IEK,unknown_blanks,test,шт,available,current,1966,1203,293458.00000000,294357.17060000,56.80031862,0.45736043,38.05295013,0.30640521,0,,77,166.67749606,1203
IEK,unknown_blanks,test,шт,available,last_month,1529,871,290133.00000000,272907.00000000,61.54872466,-11.26618705,32.43615859,-5.93727704,0,,38,128.31395516,871
IEK,unknown_blanks,test,шт,available,same_month_last_year,1473,892,288563.00000000,310327.00000000,78.88934148,14.77528853,40.26988907,7.54220049,0,,2,215.25637376,892
IEK,unknown_blanks,test,шт,paired_last_month,current,1529,871,290133.00000000,290401.47140000,70.23356861,0.17558627,37.01306863,0.09253391,0,,38,140.37012903,871
IEK,unknown_blanks,test,шт,paired_last_month,last_month,1529,871,290133.00000000,272907.00000000,61.54872466,-11.26618705,32.43615859,-5.93727704,0,,38,128.31395516,871
IEK,unknown_blanks,test,шт,paired_same_month_last_year,current,1473,892,288563.00000000,289048.54150000,72.24549606,0.32962763,36.87846872,0.16826187,0,,2,148.18780200,892
IEK,unknown_blanks,test,шт,paired_same_month_last_year,same_month_last_year,1473,892,288563.00000000,310327.00000000,78.88934148,14.77528853,40.26988907,7.54220049,0,,2,215.25637376,892
IEK,unknown_blanks,test,шт,common_all_models,current,1254,715,286810.00000000,286800.05880000,83.04571212,-0.00792759,36.30951606,-0.00346613,0,,0,133.29501381,715
IEK,unknown_blanks,test,шт,common_all_models,last_month,1254,715,286810.00000000,269136.00000000,72.59649123,-14.09409888,31.74087375,-6.16226770,0,,0,112.65711708,715
IEK,unknown_blanks,test,шт,common_all_models,same_month_last_year,1254,715,286810.00000000,307297.00000000,90.45853270,16.33732057,39.55057355,7.14305638,0,,0,200.41997838,715
IEK,unknown_blanks,validation,м,available,current,440,101,183253.00000000,144447.90340000,300.49349045,-88.19340136,72.15005255,-21.17569513,0,,4,160.24553835,101
IEK,unknown_blanks,validation,м,available,last_month,367,85,180646.00000000,167161.00000000,342.98910082,-36.74386921,69.68158719,-7.46487606,0,,1,122.39325395,85
IEK,unknown_blanks,validation,м,available,same_month_last_year,363,85,180682.00000000,263951.00000000,477.15426997,229.39118457,95.86289724,46.08594105,0,,0,317.29343334,85
IEK,unknown_blanks,validation,м,paired_last_month,current,367,85,180646.00000000,140700.93340000,349.94948447,-108.84214332,71.09565714,-22.11234492,0,,1,171.08820311,85
IEK,unknown_blanks,validation,м,paired_last_month,last_month,367,85,180646.00000000,167161.00000000,342.98910082,-36.74386921,69.68158719,-7.46487606,0,,1,122.39325395,85
IEK,unknown_blanks,validation,м,paired_same_month_last_year,current,363,85,180682.00000000,139745.00340000,353.54787273,-112.77409532,71.02969737,-22.65693129,0,,0,170.55383838,85
IEK,unknown_blanks,validation,м,paired_same_month_last_year,same_month_last_year,363,85,180682.00000000,263951.00000000,477.15426997,229.39118457,95.86289724,46.08594105,0,,0,317.29343334,85
IEK,unknown_blanks,validation,м,common_all_models,current,323,75,178986.00000000,137232.73400000,388.98706563,-129.26707740,70.19701105,-23.32767144,0,,0,264.41852745,75
IEK,unknown_blanks,validation,м,common_all_models,last_month,323,75,178986.00000000,165160.00000000,384.92879257,-42.80495356,69.46465087,-7.72462651,0,,0,139.04373403,75
IEK,unknown_blanks,validation,м,common_all_models,same_month_last_year,323,75,178986.00000000,252036.00000000,500.20433437,226.16099071,90.26739522,40.81324796,0,,0,343.89915702,75
IEK,unknown_blanks,validation,упак,available,current,243,62,16725.00000000,16681.62790000,44.55268025,-0.17848601,64.73124843,-0.25932496,0,,5,102.49647588,62
IEK,unknown_blanks,validation,упак,available,last_month,187,43,16421.00000000,16696.00000000,51.14973262,1.47058824,58.24858413,1.67468485,0,,2,89.62840523,43
IEK,unknown_blanks,validation,упак,available,same_month_last_year,194,50,16465.00000000,25059.00000000,69.18556701,44.29896907,81.51837230,52.19556635,0,,0,180.77245901,50
IEK,unknown_blanks,validation,упак,paired_last_month,current,187,43,16421.00000000,15898.93410000,53.41825936,-2.79179626,60.83194994,-3.17925766,0,,2,87.01657495,43
